period_date,isin,inflow_count,outflow_count,inflow_amount,outflow_amount
2024-09-02,EE3600001806,16,33,58644.31,221776.84
2024-09-02,EE3600001814,831,470,6891396.89,1221969.3
2024-09-02,EE3600001848,533,122,589374.49,128588.71
2024-09-02,EE3600019717,10,125,218438.51,950641.81
2024-09-02,EE3600019725,182,1188,1493975.09,13636086.18
2024-09-02,EE3600019733,33,128,526943.9,776654.6
2024-09-02,EE3600019741,357,369,5299763.17,4827369.41
2024-09-02,EE3600019758,706,1408,7272716.53,19691201.85
2024-09-02,EE3600019766,2637,2148,13696078.35,15145284.06
2024-09-02,EE3600019774,205,373,2005000.76,4935687.7
2024-09-02,EE3600019782,7,88,122282.31,618147.47
2024-09-02,EE3600019824,26,184,148367.52,1611817.76
2024-09-02,EE3600019832,1057,3074,9813206.69,41592215.9
2024-09-02,EE3600098430,118,726,1609517.13,10600226.59
2024-09-02,EE3600098448,6,96,76669.18,1386653.33
2024-09-02,EE3600098455,3,103,39356.39,780510.82
2024-09-02,EE3600098612,40,97,401235.19,785044.64
2024-09-02,EE3600103248,984,1800,10082971.87,15006198.42
2024-09-02,EE3600103503,3109,1736,37661980.8,14317305.3
2024-09-02,EE3600109393,3046,1004,20442609.01,4152177.75
2024-09-02,EE3600109401,521,886,5065786.46,3325762.41
2024-09-02,EE3600109427,1412,953,12969784.6,2923569.22
2024-09-02,EE3600109435,2187,337,25580618.32,2657949.45
2024-09-02,EE3600109443,79,95,1257127.07,622114.9
2025-01-02,EE3600001699,921,726,7930075.05,6834048.06
2025-01-02,EE3600001723,29,897,105855.97,4181304.19
2025-01-02,EE3600001806,58,38,812441.95,298355.57
2025-01-02,EE3600001814,899,485,9446297.2,1812987.71
2025-01-02,EE3600001848,588,147,712208.89,167271.35
2025-01-02,EE3600019717,16,142,227498.52,935915.31
2025-01-02,EE3600019725,230,1259,2223005.32,16104003.07
2025-01-02,EE3600019733,66,128,923335.58,1050403.9
2025-01-02,EE3600019741,455,425,6342799.85,5926246.08
2025-01-02,EE3600019758,780,1597,10208310.39,23438353.08
2025-01-02,EE3600019766,2365,2558,13758031.82,19480048.88
2025-01-02,EE3600019774,257,433,2725059.89,5784171.89
2025-01-02,EE3600019782,14,75,156017.13,511455.28
2025-01-02,EE3600019824,28,176,329590.36,1771860.0
2025-01-02,EE3600019832,1060,3658,9521843.5,54933791.78
2025-01-02,EE3600098430,162,705,2093032.71,11866483.25
2025-01-02,EE3600098448,15,105,176192.72,1250341.93
2025-01-02,EE3600098455,8,102,102991.82,766826.6
